time_s,force
7.96,9.8163
7.961,9.7552
7.962,9.7784
7.963,9.9037
7.964,9.98
7.965,10.1932
7.966,10.3969
7.967,10.3543
7.968,10.0166
7.969,9.9205
7.97,9.7227
7.971,9.9725
7.972,10.334
7.973,10.2552
7.974,10.3269
7.975,10.1101
7.976,9.8346
7.977,9.8221
7.978,9.755
7.979,9.777
7.98,9.8132
7.981,9.9991
7.982,10.1475
7.983,9.9385
7.984,9.7547
7.985,9.5666
7.986,9.6675
7.987,9.9059
7.988,10.2314
7.989,10.3468
7.99,10.151
7.991,10.1063
7.992,9.7208
7.993,9.7976
7.994,9.5688
7.995,9.8192
7.996,9.9621
7.997,10.4413
7.998,10.5234
7.999,10.3885
8.0,10.1282
8.001,9.854
8.002,9.8685
8.003,10.0469
8.004,10.4422
8.005,10.5747
8.006,10.5405
8.007,10.2015
8.008,9.6151
8.009,9.6436
8.01,9.5641
8.011,9.9967
8.012,9.9106
8.013,10.1965
8.014,10.1457
8.015,9.9025
8.016,9.697
8.017,9.606
8.018,9.6939
8.019,9.9427
8.02,10.2543
8.021,10.4672
8.022,10.4624
8.023,10.3855
8.024,10.0992
8.025,10.0378
8.026,9.7829
8.027,9.8108
8.028,9.9643
8.029,10.1226
8.03,10.1143
8.031,9.9718
8.032,9.7713
8.033,9.7035
8.034,9.7452
8.035,10.1667
8.036,10.5908
8.037,10.7399
8.038,10.6795
8.039,10.4224
8.04,9.8106
8.041,9.5319
8.042,9.2632
8.043,9.4512
8.044,9.7067
8.045,9.9071
8.046,10.0343
8.047,9.8831
8.048,9.7077
8.049,9.4717
8.05,9.349
8.051,9.4501
8.052,10.0183
8.053,10.0731
8.054,10.3475
8.055,10.3469
8.056,10.3327
8.057,9.894
8.058,9.8811
8.059,9.8021
8.06,10.2321
8.061,10.3507
8.062,10.3323
8.063,10.3718
8.064,10.0994
8.065,10.0875
8.066,9.648
8.067,9.6258
8.068,9.9279
8.069,10.1517
8.07,10.2845
8.071,10.1783
8.072,9.8406
8.073,9.511
8.074,9.6918
8.075,9.8771
8.076,10.1921
8.077,10.1383
8.078,10.1764
8.079,10.1694
8.08,9.8932
8.081,9.7658
8.082,9.6694
8.083,9.913
8.084,10.2326
8.085,10.4225
8.086,10.492
8.087,10.216
8.088,10.0525
8.089,9.7926
8.09,9.8628
8.091,9.7826
8.092,9.9622
8.093,10.2523
8.094,10.1953
8.095,9.9903
8.096,9.5033
8.097,9.4225
8.098,9.3732
8.099,9.653
8.1,10.0512
8.101,10.3689
8.102,10.3205
8.103,10.2465
8.104,9.7892
8.105,9.6269
8.106,9.5145
8.107,9.6728
8.108,9.8717
8.109,10.2775
8.11,10.3764
8.111,10.2622
8.112,9.9871
8.113,9.8643
8.114,10.0374
8.115,9.9251
8.116,10.272
8.117,10.2589
8.118,10.3214
8.119,10.2671
8.12,9.9867
8.121,9.6801
8.122,9.6714
8.123,9.5217
8.124,9.718
8.125,9.706
8.126,10.0882
8.127,10.1695
8.128,10.0969
8.129,10.1127
8.13,9.7735
8.131,9.9237
8.132,10.3122
8.133,10.3672
8.134,10.5846
8.135,10.4648
8.136,10.396
8.137,9.9616
8.138,10.1773
8.139,9.7655
8.14,9.9464
8.141,9.7789
8.142,10.2511
8.143,10.2294
8.144,10.1007
8.145,9.7732
8.146,9.551
8.147,9.5878
8.148,9.9433
8.149,10.1905
8.15,10.2294
8.151,10.2434
8.152,10.222
8.153,9.9332
8.154,9.6675
8.155,9.5131
8.156,9.6658
8.157,10.1517
8.158,10.1793
8.159,10.2053
8.16,9.6674
8.161,9.4333
8.162,9.26
8.163,9.333
8.164,9.5218
8.165,9.7674
8.166,10.1275
8.167,10.3491
8.168,10.0983
8.169,9.7617
8.17,9.56
8.171,9.8417
8.172,10.0472
8.173,10.4273
8.174,10.4829
8.175,10.3379
8.176,10.0786
8.177,10.022
8.178,9.8928
8.179,9.8061
8.18,9.8249
8.181,10.1764
8.182,10.1852
8.183,10.0305
8.184,9.9252
8.185,9.6318
8.186,9.595
8.187,9.6927
8.188,10.0081
8.189,10.2128
8.19,10.3117
8.191,10.6445
8.192,10.2453
8.193,10.2601
8.194,9.6997
8.195,9.9098
8.196,9.8492
8.197,10.2356
8.198,10.1901
8.199,10.307
8.2,10.0155
8.201,9.7269
8.202,9.5395
8.203,9.6616
8.204,9.8721
8.205,9.9682
8.206,10.2886
8.207,10.3711
8.208,10.2969
8.209,9.7696
8.21,9.5867
8.211,9.6129
8.212,9.9196
8.213,10.2203
8.214,10.3264
8.215,10.2002
8.216,10.2222
8.217,10.1188
8.218,10.1266
8.219,9.7994
8.22,10.0417
8.221,9.9212
8.222,10.3953
8.223,10.296
8.224,10.3819
8.225,10.0225
8.226,9.8756
8.227,9.8432
8.228,10.0123
8.229,10.0863
8.23,10.2333
8.231,10.0932
8.232,10.0337
8.233,9.5103
8.234,9.4185
8.235,9.3253
8.236,9.5649
8.237,9.8976
8.238,10.0806
8.239,10.3062
8.24,10.0053
8.241,9.9526
8.242,9.7343
8.243,9.8239
8.244,10.0329
8.245,10.2582
8.246,10.4661
8.247,10.6994
8.248,10.4105
8.249,10.1893
8.25,9.7494
8.251,9.8086
8.252,9.8908
8.253,10.0376
8.254,10.1518
8.255,10.2023
8.256,10.2541
8.257,10.0962
8.258,9.9071
8.259,9.68
8.26,9.6458
8.261,9.9007
8.262,10.1802
8.263,10.2074
8.264,10.105
8.265,9.5816
8.266,9.3041
8.267,9.321
8.268,9.5669
8.269,9.8025
8.27,10.0345
8.271,9.9842
8.272,9.9533
8.273,9.6974
8.274,9.6041
8.275,9.6052
8.276,9.8311
8.277,10.359
8.278,10.5386
8.279,10.6834
8.28,10.419
8.281,10.0528
8.282,9.9539
8.283,10.0235
8.284,10.145
8.285,10.2167
8.286,10.235
8.287,10.2259
8.288,10.0509
8.289,9.8859
8.29,9.6523
8.291,9.4749
8.292,9.5232
8.293,9.795
8.294,10.0464
8.295,10.1676
8.296,10.1644
8.297,9.957
8.298,9.7072
8.299,9.9868
